"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C52","100n","Top","FP-GRT155-0_05-IPC_C","54.4750","19.6000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C51","100n","Bottom","FP-GRT155-0_05-IPC_C","48.1480","12.9750","180","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C50","1u","Bottom","CAPC1608X90N","48.0000","14.0000","0","The superior mechanical strength and reliability due to the monolithic structure.  Low ESR, ESL and excellent frequency characteristics allow for a circuit design that closely conforms to theoretical values.  Low self-heating and high ripple resistance due to low ESR.  No polarity"
"C49","100n","Top","FP-GRT155-0_05-IPC_C","24.0030","17.0000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C48","100n","Top","FP-GRT155-0_05-IPC_C","23.0378","17.0000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C47","100n","Top","FP-GRT155-0_05-IPC_C","18.0590","17.0000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C46","100n","Top","FP-GRT155-0_05-IPC_C","17.0940","17.0000","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C45","1u","Bottom","CAPC1608X90N","12.7250","3.0000","0","The superior mechanical strength and reliability due to the monolithic structure.  Low ESR, ESL and excellent frequency characteristics allow for a circuit design that closely conforms to theoretical values.  Low self-heating and high ripple resistance due to low ESR.  No polarity"
"C44","100n","Bottom","FP-GRT155-0_05-IPC_C","13.1500","2.0000","180","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C43","100n","Top","FP-GRT155-0_05-IPC_C","25.2476","24.0538","180","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C42","1u","Top","CAPC1608X90N","25.8572","22.3012","90","The superior mechanical strength and reliability due to the monolithic structure.  Low ESR, ESL and excellent frequency characteristics allow for a circuit design that closely conforms to theoretical values.  Low self-heating and high ripple resistance due to low ESR.  No polarity"
"C41","100n","Bottom","FP-GRT155-0_05-IPC_C","26.7970","29.3000","90","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C40","1u","Bottom","CAPC1608X90N","27.8892","29.7180","270","The superior mechanical strength and reliability due to the monolithic structure.  Low ESR, ESL and excellent frequency characteristics allow for a circuit design that closely conforms to theoretical values.  Low self-heating and high ripple resistance due to low ESR.  No polarity"
"C39","100n","Top","FP-GRT155-0_05-IPC_C","74.4474","28.3718","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C38","15pF","Top","CAPC1005X56N","49.7840","44.8310","90","AVX - 04025U150FAT2A - CAP, MLCC, C0G / NP0, 15PF, 50V, 0402"
"C37","15pF","Top","CAPC1005X56N","53.7210","44.8310","270","AVX - 04025U150FAT2A - CAP, MLCC, C0G / NP0, 15PF, 50V, 0402"
"C36","100n","Top","FP-GRT155-0_05-IPC_C","83.4898","40.2336","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C35","100n","Top","FP-GRT155-0_05-IPC_C","83.4898","39.2684","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C34","100n","Top","FP-GRT155-0_05-IPC_C","83.5152","32.2330","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C33","100n","Top","FP-GRT155-0_05-IPC_C","83.5152","31.2670","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C32","100n","Top","FP-GRT155-0_05-IPC_C","73.6500","41.7750","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C31","1u","Top","CAPC1608X90N","73.6500","42.9000","180","The superior mechanical strength and reliability due to the monolithic structure.  Low ESR, ESL and excellent frequency characteristics allow for a circuit design that closely conforms to theoretical values.  Low self-heating and high ripple resistance due to low ESR.  No polarity"
"C30","100n","Bottom","FP-GRT155-0_05-IPC_C","72.0852","36.5506","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C29","1u","Bottom","CAPC1608X90N","70.9500","36.1500","90","The superior mechanical strength and reliability due to the monolithic structure.  Low ESR, ESL and excellent frequency characteristics allow for a circuit design that closely conforms to theoretical values.  Low self-heating and high ripple resistance due to low ESR.  No polarity"
"C28","1u","Bottom","CAPC1608X90N","95.7326","40.8178","270","The superior mechanical strength and reliability due to the monolithic structure.  Low ESR, ESL and excellent frequency characteristics allow for a circuit design that closely conforms to theoretical values.  Low self-heating and high ripple resistance due to low ESR.  No polarity"
"C27","1u","Bottom","FP-GRM155-0_1-IPC_C","75.8500","25.4036","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X7R, 15%, 10%, 10V"
"C26","2.2n","Bottom","FP-AC0402-0_5-MFG","69.9500","22.9250","180","CAP CER 2200PF 50V X7R 0402"
"C25","100n","Bottom","FP-GRT155-0_05-IPC_C","70.1300","32.9200","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C24","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","70.1802","31.1000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
"C23","100n","Bottom","FP-GRT155-0_05-IPC_C","73.7362","29.7688","90","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C22","4.7u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_A","75.5500","29.8508","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4.7uF, X7R, 15%, 10%, 35V"
"C21","4.7u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_A","81.0768","28.8544","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4.7uF, X7R, 15%, 10%, 35V"
"C20","100n","Bottom","FP-GRT155-0_05-IPC_C","50.7714","31.2250","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C19","100n","Bottom","FP-GRT155-0_05-IPC_C","61.5950","31.3436","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C18","100n","Bottom","FP-GRT155-0_05-IPC_C","51.7500","39.2214","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C17","100n","Bottom","FP-GRT155-0_05-IPC_C","57.0000","39.2286","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C16","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","68.5800","46.3296","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
"C15","100n","Bottom","FP-GRT155-0_05-IPC_C","80.1456","36.5750","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C14","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","79.4964","38.1500","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
"C13","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","79.4964","40.3500","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
"C12","100n","Bottom","FP-GRT155-0_05-IPC_C","89.5858","42.3926","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C11","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","89.6874","40.9194","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
"C10","6.8p","Bottom","FP-GCM155-0_05-IPC_B","86.6000","36.7500","90","Ceramic Capacitor for Automotive 6.8pF ±0.1pF 50VDC C0G 0402 Paper T/R"
"C9","100n","Bottom","FP-GRT155-0_05-IPC_C","56.7500","30.7714","90","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C8","100n","Bottom","FP-GRT155-0_05-IPC_C","58.2500","30.7714","90","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C7","100n","Bottom","FP-GRT155-0_05-IPC_C","53.2500","30.7714","90","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C6","100n","Bottom","FP-GRT155-0_05-IPC_C","50.7714","32.7500","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C5","100n","Bottom","FP-GRT155-0_05-IPC_C","50.7714","35.2500","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C4","100n","Bottom","FP-GRT155-0_05-IPC_C","50.7710","36.7538","0","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C3","100n","Bottom","FP-GRT155-0_05-IPC_C","57.9750","39.2286","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C2","100n","Bottom","FP-GRT155-0_05-IPC_C","54.7500","39.2286","270","Multi-Layer Ceramic Capacitor 100nF 50V X7R ±10% 0402 Paper T/R"
"C1","10u","Bottom","FP-GRM21B-0_2-e0_2_0_7-IPC_B","62.2808","26.0350","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7R, 15%, 10%, 25V"
